Time,Focus,FocusReal,Fcous Raw,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal
1.672628,1.036772,1.036772077,1.269924735,0.303909,0.303909,0.3988968,0.1583049,0.1897873,0.2701957,0.1870392,0.1554721,0.168414,0.08486219,0.1164581
1.672849,1.036772,1.036772077,1.269924735,0.303909,0.303909,0.3988968,0.1583049,0.1897873,0.2639937,0.1805895,0.1554721,0.168414,0.08486219,0.1164581
1.673063,0.9935398,0.993539734,1.406893527,0.303909,0.303909,0.3988968,0.1583049,0.1897873,0.2639937,0.1805895,0.1588187,0.1600061,0.08486219,0.1164581
1.673266,0.9935398,0.993539734,1.406893527,0.303909,0.303909,0.3988968,0.1583049,0.1897873,0.2639937,0.1805895,0.1588187,0.1600061,0.08583286,0.1160452
1.756236,0.9935398,0.993539734,1.406893527,0.3106329,0.3106329,0.4028034,0.1583049,0.1897873,0.2639937,0.1805895,0.1588187,0.1600061,0.08583286,0.1160452
1.756482,1.011697,1.011697392,1.455523446,0.3106329,0.3106329,0.4028034,0.1597449,0.1930395,0.2639937,0.1805895,0.1588187,0.1600061,0.08583286,0.1160452
1.756707,1.011697,1.011697392,1.455523446,0.3106329,0.3106329,0.4028034,0.1597449,0.1930395,0.2579431,0.1788495,0.1588187,0.1600061,0.08583286,0.1160452
1.756933,0.9819156,0.981915593,1.60646937,0.3106329,0.3106329,0.4028034,0.1597449,0.1930395,0.2579431,0.1788495,0.1612092,0.1523035,0.08583286,0.1160452
1.757154,0.9819156,0.981915593,1.60646937,0.3106329,0.3106329,0.4028034,0.1597449,0.1930395,0.2579431,0.1788495,0.1612092,0.1523035,0.08618766,0.07633594
1.857185,0.9819156,0.981915593,1.60646937,0.319322,0.319322,0.4098237,0.1597449,0.1930395,0.2579431,0.1788495,0.1612092,0.1523035,0.08618766,0.07633594
1.857433,1.00145,1.0014497,1.665186373,0.319322,0.319322,0.4098237,0.161326,0.1965357,0.2579431,0.1788495,0.1612092,0.1523035,0.08618766,0.07633594
1.857653,1.00145,1.0014497,1.665186373,0.319322,0.319322,0.4098237,0.161326,0.1965357,0.2511984,0.1745982,0.1612092,0.1523035,0.08618766,0.07633594
1.857867,0.9915071,0.991507049,1.89180855,0.319322,0.319322,0.4098237,0.161326,0.1965357,0.2511984,0.1745982,0.1620155,0.1428903,0.08618766,0.07633594
1.858088,0.9915071,0.991507049,1.89180855,0.319322,0.319322,0.4098237,0.161326,0.1965357,0.2511984,0.1745982,0.1620155,0.1428903,0.08800294,0.1094735
1.956568,0.9915071,0.991507049,1.89180855,0.3279657,0.3279657,0.4196441,0.161326,0.1965357,0.2511984,0.1745982,0.1620155,0.1428903,0.08800294,0.1094735
1.956822,1.015597,1.015596909,2.005516416,0.3279657,0.3279657,0.4196441,0.1632741,0.2023559,0.2511984,0.1745982,0.1620155,0.1428903,0.08800294,0.1094735
1.957041,1.015597,1.015596909,2.005516416,0.3279657,0.3279657,0.4196441,0.1632741,0.2023559,0.2444374,0.1665689,0.1620155,0.1428903,0.08800294,0.1094735
1.957251,1.014754,1.014753772,2.291319706,0.3279657,0.3279657,0.4196441,0.1632741,0.2023559,0.2444374,0.1665689,0.1620828,0.133682,0.08800294,0.1094735
1.957458,1.014754,1.014753772,2.291319706,0.3279657,0.3279657,0.4196441,0.1632741,0.2023559,0.2444374,0.1665689,0.1620828,0.133682,0.09121118,0.1360777
2.04022,1.014754,1.014753772,2.291319706,0.3367731,0.3367731,0.4412193,0.1632741,0.2023559,0.2444374,0.1665689,0.1620828,0.133682,0.09121118,0.1360777
2.040479,1.051811,1.051810462,2.523656777,0.3367731,0.3367731,0.4412193,0.1662285,0.2123676,0.2444374,0.1665689,0.1620828,0.133682,0.09121118,0.1360777
2.040702,1.051811,1.051810462,2.523656777,0.3367731,0.3367731,0.4412193,0.1662285,0.2123676,0.2368405,0.1454366,0.1620828,0.133682,0.09121118,0.1360777
2.040913,1.056699,1.056699314,2.737806867,0.3367731,0.3367731,0.4412193,0.1662285,0.2123676,0.2368405,0.1454366,0.1617074,0.1283473,0.09121118,0.1360777
2.04112,1.056699,1.056699314,2.737806867,0.3367731,0.3367731,0.4412193,0.1662285,0.2123676,0.2368405,0.1454366,0.1617074,0.1283473,0.0959147,0.1535353
2.157122,1.056699,1.056699314,2.737806867,0.3461524,0.3461524,0.4570913,0.1662285,0.2123676,0.2368405,0.1454366,0.1617074,0.1283473,0.0959147,0.1535353
2.157379,1.099071,1.099071109,2.763839278,0.3461524,0.3461524,0.4570913,0.1695285,0.2133748,0.2368405,0.1454366,0.1617074,0.1283473,0.0959147,0.1535353
2.157599,1.099071,1.099071109,2.763839278,0.3461524,0.3461524,0.4570913,0.1695285,0.2133748,0.2287689,0.1365922,0.1617074,0.1283473,0.0959147,0.1535353
2.173635,1.112333,1.112333421,2.921595311,0.3461524,0.3461524,0.4570913,0.1695285,0.2133748,0.2287689,0.1365922,0.1607405,0.1248341,0.0959147,0.1535353
2.173886,1.112333,1.112333421,2.921595311,0.3461524,0.3461524,0.4570913,0.1695285,0.2133748,0.2287689,0.1365922,0.1607405,0.1248341,0.09973305,0.1467005
2.274199,1.112333,1.112333421,2.921595311,0.3560941,0.3560941,0.4666366,0.1695285,0.2133748,0.2287689,0.1365922,0.1607405,0.1248341,0.09973305,0.1467005
2.274454,1.157284,1.157283591,2.906489226,0.3560941,0.3560941,0.4666366,0.17292,0.2128225,0.2287689,0.1365922,0.1607405,0.1248341,0.09973305,0.1467005
2.274763,1.157284,1.157283591,2.906489226,0.3560941,0.3560941,0.4666366,0.17292,0.2128225,0.2204164,0.1322828,0.1607405,0.1248341,0.09973305,0.1467005
2.274993,1.180335,1.180335204,3.02237507,0.3560941,0.3560941,0.4666366,0.17292,0.2128225,0.2204164,0.1322828,0.1591631,0.1224175,0.09973305,0.1467005
2.275206,1.180335,1.180335204,3.02237507,0.3560941,0.3560941,0.4666366,0.17292,0.2128225,0.2204164,0.1322828,0.1591631,0.1224175,0.1048556,0.1683894
2.359262,1.180335,1.180335204,3.02237507,0.3660768,0.3660768,0.470305,0.17292,0.2128225,0.2204164,0.1322828,0.1591631,0.1224175,0.1048556,0.1683894
2.359508,1.225064,1.225063988,2.978318964,0.3660768,0.3660768,0.470305,0.1761659,0.2112657,0.2204164,0.1322828,0.1591631,0.1224175,0.1048556,0.1683894
2.359728,1.225064,1.225063988,2.978318964,0.3660768,0.3660768,0.470305,0.1761659,0.2112657,0.212322,0.1319155,0.1591631,0.1224175,0.1048556,0.1683894
