Time,Focus,FocusReal,FocusRaw,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal
2.344545,2.453887,2.4538872,2.456534631,0.2408156,0.2408156,0.2743589,0.3062392,0.3016527,0.1659695,0.1851805,0.195494,0.1924623,0.1307019,0.09521537
2.344773,2.424395,2.424394959,2.533022383,0.2408156,0.2408156,0.2743589,0.3062392,0.3016527,0.1659695,0.1851805,0.1966795,0.1895342,0.1307019,0.09521537
2.345011,2.424395,2.424394959,2.533022383,0.2408156,0.2408156,0.2743589,0.3062392,0.3016527,0.1659695,0.1851805,0.1966795,0.1895342,0.1261916,0.09594066
2.414307,2.424395,2.424394959,2.533022383,0.2440895,0.2440895,0.2745076,0.3062392,0.3016527,0.1659695,0.1851805,0.1966795,0.1895342,0.1261916,0.09594066
2.414667,2.430559,2.43055914,2.507071728,0.2440895,0.2440895,0.2745076,0.3066282,0.3001035,0.1659695,0.1851805,0.1966795,0.1895342,0.1261916,0.09594066
2.414942,2.430559,2.43055914,2.507071728,0.2440895,0.2440895,0.2745076,0.3066282,0.3001035,0.1679949,0.1864598,0.1966795,0.1895342,0.1261916,0.09594066
2.415212,2.409003,2.40900248,2.582740869,0.2440895,0.2440895,0.2745076,0.3066282,0.3001035,0.1679949,0.1864598,0.1975575,0.1867371,0.1261916,0.09594066
2.415479,2.409003,2.40900248,2.582740869,0.2440895,0.2440895,0.2745076,0.3066282,0.3001035,0.1679949,0.1864598,0.1975575,0.1867371,0.1208944,0.09183641
2.528681,2.409003,2.40900248,2.582740869,0.2471618,0.2471618,0.2724191,0.3066282,0.3001035,0.1679949,0.1864598,0.1975575,0.1867371,0.1208944,0.09183641
2.529047,2.410484,2.410484344,2.566430736,0.2471618,0.2471618,0.2724191,0.3067225,0.2991544,0.1679949,0.1864598,0.1975575,0.1867371,0.1208944,0.09183641
2.52935,2.410484,2.410484344,2.566430736,0.2471618,0.2471618,0.2724191,0.3067225,0.2991544,0.1703906,0.1888153,0.1975575,0.1867371,0.1208944,0.09183641
2.529653,2.396556,2.396556472,2.631150018,0.2471618,0.2471618,0.2724191,0.3067225,0.2991544,0.1703906,0.1888153,0.1981307,0.1844262,0.1208944,0.09183641
2.530126,2.396556,2.396556472,2.631150018,0.2471618,0.2471618,0.2724191,0.3067225,0.2991544,0.1703906,0.1888153,0.1981307,0.1844262,0.1150761,0.09000128
2.595392,2.396556,2.396556472,2.631150018,0.2500905,0.2500905,0.271088,0.3067225,0.2991544,0.1703906,0.1888153,0.1981307,0.1844262,0.1150761,0.09000128
